Metric,Value
Trade Analysis,
total - total,10
total - open,0
total - closed,10
streak - won,"AutoOrderedDict({'current': 0, 'longest': 1})"
streak - lost,"AutoOrderedDict({'current': 3, 'longest': 5})"
pnl - gross,"AutoOrderedDict({'total': 2373.2311725616455, 'average': 237.32311725616455})"
pnl - net,"AutoOrderedDict({'total': 2239.7810427684785, 'average': 223.97810427684786})"
won - total,2
won - pnl,"AutoOrderedDict({'total': 6418.4767269001, 'average': 3209.23836345005, 'max': 5253.488273418427})"
lost - total,8
lost - pnl,"AutoOrderedDict({'total': -4178.695684131622, 'average': -522.3369605164528, 'max': -886.7034351940155})"
long - total,10
long - pnl,"AutoOrderedDict({'total': 2239.7810427684785, 'average': 223.97810427684786, 'won': AutoOrderedDict({'total': 6418.4767269001, 'average': 3209.23836345005, 'max': 5253.488273418427}), 'lost': AutoOrderedDict({'total': -4178.695684131622, 'average': -522.3369605164528, 'max': -886.7034351940155})})"
long - won,2
long - lost,8
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,110
len - average,11.0
len - max,29
len - min,2
len - won,"AutoOrderedDict({'total': 48, 'average': 24.0, 'max': 29, 'min': 19})"
len - lost,"AutoOrderedDict({'total': 62, 'average': 7.75, 'max': 19, 'min': 2})"
len - long,"AutoOrderedDict({'total': 110, 'average': 11.0, 'max': 29, 'min': 2, 'won': AutoOrderedDict({'total': 48, 'average': 24.0, 'max': 29, 'min': 19}), 'lost': AutoOrderedDict({'total': 62, 'average': 7.75, 'max': 19, 'min': 2})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
