Metric,Value
Trade Analysis,
total - total,18
total - open,0
total - closed,18
streak - won,"AutoOrderedDict({'current': 2, 'longest': 15})"
streak - lost,"AutoOrderedDict({'current': 0, 'longest': 1})"
pnl - gross,"AutoOrderedDict({'total': 7998.800823445646, 'average': 444.37782352475807})"
pnl - net,"AutoOrderedDict({'total': 7753.7649982326975, 'average': 430.76472212403877})"
won - total,17
won - pnl,"AutoOrderedDict({'total': 7876.420628956377, 'average': 463.3188605268457, 'max': 1078.1098657016403})"
lost - total,1
lost - pnl,"AutoOrderedDict({'total': -122.65563072368009, 'average': -122.65563072368009, 'max': -122.65563072368009})"
long - total,18
long - pnl,"AutoOrderedDict({'total': 7753.7649982326975, 'average': 430.76472212403877, 'won': AutoOrderedDict({'total': 7876.420628956377, 'average': 463.3188605268457, 'max': 1078.1098657016403}), 'lost': AutoOrderedDict({'total': -122.65563072368009, 'average': -122.65563072368009, 'max': -122.65563072368009})})"
long - won,17
long - lost,1
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,384
len - average,21.333333333333332
len - max,49
len - min,3
len - won,"AutoOrderedDict({'total': 335, 'average': 19.705882352941178, 'max': 45, 'min': 3})"
len - lost,"AutoOrderedDict({'total': 49, 'average': 49.0, 'max': 49, 'min': 49})"
len - long,"AutoOrderedDict({'total': 384, 'average': 21.333333333333332, 'max': 49, 'min': 3, 'won': AutoOrderedDict({'total': 335, 'average': 19.705882352941178, 'max': 45, 'min': 3}), 'lost': AutoOrderedDict({'total': 49, 'average': 49.0, 'max': 49, 'min': 49})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
