Created by Akshay Himatsingka akshayhimat@gmail.com
Metric,Value
Trade Analysis,
total - total,7
total - open,0
total - closed,7
streak - won,"AutoOrderedDict({'current': 1, 'longest': 4})"
streak - lost,"AutoOrderedDict({'current': 0, 'longest': 2})"
pnl - gross,"AutoOrderedDict({'total': 226.44536917359216, 'average': 32.34933845337031})"
pnl - net,"AutoOrderedDict({'total': 211.91335808944433, 'average': 30.27333686992062})"
won - total,5
won - pnl,"AutoOrderedDict({'total': 336.92405255893095, 'average': 67.38481051178618, 'max': 130.29893633353217})"
lost - total,2
lost - pnl,"AutoOrderedDict({'total': -125.01069446948661, 'average': -62.505347234743304, 'max': -103.58426562816555})"
long - total,7
long - pnl,"AutoOrderedDict({'total': 211.91335808944433, 'average': 30.27333686992062, 'won': AutoOrderedDict({'total': 336.92405255893095, 'average': 67.38481051178618, 'max': 130.29893633353217}), 'lost': AutoOrderedDict({'total': -125.01069446948661, 'average': -62.505347234743304, 'max': -103.58426562816555})})"
long - won,5
long - lost,2
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,157
len - average,22.428571428571427
len - max,56
len - min,11
len - won,"AutoOrderedDict({'total': 87, 'average': 17.4, 'max': 29, 'min': 11})"
len - lost,"AutoOrderedDict({'total': 70, 'average': 35.0, 'max': 56, 'min': 14})"
len - long,"AutoOrderedDict({'total': 157, 'average': 22.428571428571427, 'max': 56, 'min': 11, 'won': AutoOrderedDict({'total': 87, 'average': 17.4, 'max': 29, 'min': 11}), 'lost': AutoOrderedDict({'total': 70, 'average': 35.0, 'max': 56, 'min': 14})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
