Created by Akshay Himatsingka akshayhimat@gmail.com
Metric,Value
Trade Analysis,
total - total,2
total - open,0
total - closed,2
streak - won,"AutoOrderedDict({'current': 0, 'longest': 1})"
streak - lost,"AutoOrderedDict({'current': 1, 'longest': 1})"
pnl - gross,"AutoOrderedDict({'total': 701.0773991711403, 'average': 350.53869958557016})"
pnl - net,"AutoOrderedDict({'total': 696.5521932937843, 'average': 348.27609664689214})"
won - total,1
won - pnl,"AutoOrderedDict({'total': 2418.8991259204786, 'average': 2418.8991259204786, 'max': 2418.8991259204786})"
lost - total,1
lost - pnl,"AutoOrderedDict({'total': -1722.3469326266943, 'average': -1722.3469326266943, 'max': -1722.3469326266943})"
long - total,2
long - pnl,"AutoOrderedDict({'total': 696.5521932937843, 'average': 348.27609664689214, 'won': AutoOrderedDict({'total': 2418.8991259204786, 'average': 2418.8991259204786, 'max': 2418.8991259204786}), 'lost': AutoOrderedDict({'total': -1722.3469326266943, 'average': -1722.3469326266943, 'max': -1722.3469326266943})})"
long - won,1
long - lost,1
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,1161
len - average,580.5
len - max,741
len - min,420
len - won,"AutoOrderedDict({'total': 741, 'average': 741.0, 'max': 741, 'min': 741})"
len - lost,"AutoOrderedDict({'total': 420, 'average': 420.0, 'max': 420, 'min': 420})"
len - long,"AutoOrderedDict({'total': 1161, 'average': 580.5, 'max': 741, 'min': 420, 'won': AutoOrderedDict({'total': 741, 'average': 741.0, 'max': 741, 'min': 741}), 'lost': AutoOrderedDict({'total': 420, 'average': 420.0, 'max': 420, 'min': 420})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
