Created by Akshay Himatsingka akshayhimat@gmail.com
Metric,Value
Trade Analysis,
total - total,2
total - open,0
total - closed,2
streak - won,"AutoOrderedDict({'current': 2, 'longest': 2})"
streak - lost,"AutoOrderedDict({'current': 0, 'longest': 0})"
pnl - gross,"AutoOrderedDict({'total': 828.0999225984557, 'average': 414.04996129922785})"
pnl - net,"AutoOrderedDict({'total': 824.7025991669757, 'average': 412.35129958348784})"
won - total,2
won - pnl,"AutoOrderedDict({'total': 824.7025991669757, 'average': 412.35129958348784, 'max': 662.656776227006})"
lost - total,0
lost - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})"
long - total,2
long - pnl,"AutoOrderedDict({'total': 824.7025991669757, 'average': 412.35129958348784, 'won': AutoOrderedDict({'total': 824.7025991669757, 'average': 412.35129958348784, 'max': 662.656776227006}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
long - won,2
long - lost,0
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,65
len - average,32.5
len - max,43
len - min,22
len - won,"AutoOrderedDict({'total': 65, 'average': 32.5, 'max': 43, 'min': 22})"
len - lost,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0})"
len - long,"AutoOrderedDict({'total': 65, 'average': 32.5, 'max': 43, 'min': 22, 'won': AutoOrderedDict({'total': 65, 'average': 32.5, 'max': 43, 'min': 22}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
