Created by Akshay Himatsingka akshayhimat@gmail.com
Metric,Value
Trade Analysis,
total - total,6
total - open,1
total - closed,5
streak - won,"AutoOrderedDict({'current': 0, 'longest': 4})"
streak - lost,"AutoOrderedDict({'current': 1, 'longest': 1})"
pnl - gross,"AutoOrderedDict({'total': 18886.673635772066, 'average': 3777.334727154413})"
pnl - net,"AutoOrderedDict({'total': 18868.31841155542, 'average': 3773.6636823110844})"
won - total,4
won - pnl,"AutoOrderedDict({'total': 24383.702887534968, 'average': 6095.925721883742, 'max': 20384.266444267232})"
lost - total,1
lost - pnl,"AutoOrderedDict({'total': -5515.3844759795475, 'average': -5515.3844759795475, 'max': -5515.3844759795475})"
long - total,5
long - pnl,"AutoOrderedDict({'total': 18868.31841155542, 'average': 3773.6636823110844, 'won': AutoOrderedDict({'total': 24383.702887534968, 'average': 6095.925721883742, 'max': 20384.266444267232}), 'lost': AutoOrderedDict({'total': -5515.3844759795475, 'average': -5515.3844759795475, 'max': -5515.3844759795475})})"
long - won,4
long - lost,1
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,1150
len - average,230.0
len - max,580
len - min,27
len - won,"AutoOrderedDict({'total': 1123, 'average': 280.75, 'max': 580, 'min': 51})"
len - lost,"AutoOrderedDict({'total': 27, 'average': 27.0, 'max': 27, 'min': 27})"
len - long,"AutoOrderedDict({'total': 1150, 'average': 230.0, 'max': 580, 'min': 27, 'won': AutoOrderedDict({'total': 1123, 'average': 280.75, 'max': 580, 'min': 51}), 'lost': AutoOrderedDict({'total': 27, 'average': 27.0, 'max': 27, 'min': 27})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
